,Tweet_text,0
907,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
908,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
909,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
910,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
911,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
912,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
913,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
914,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
915,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
916,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
917,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
918,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
919,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
920,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
921,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
922,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
923,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
924,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
925,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
926,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
927,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
928,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
929,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
930,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
931,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
932,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
933,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
934,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
935,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
936,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
937,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
938,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
939,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
940,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
941,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
942,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
943,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
944,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
945,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
946,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
947,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
948,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
949,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
950,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
951,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
952,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
953,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
954,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
955,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
956,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
957,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
958,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
959,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
960,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
961,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
962,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
963,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
964,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
965,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
966,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
967,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
968,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
969,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
970,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
971,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
972,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
973,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
974,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
975,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
976,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
977,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
978,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
979,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
980,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
981,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
982,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
983,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
984,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
985,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
986,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
987,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
988,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
989,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
990,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
991,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
992,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
993,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
994,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
995,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
996,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
997,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
998,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
999,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1000,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1001,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1002,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1003,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1004,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1005,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1006,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1007,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1008,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1009,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1010,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1011,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1012,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1013,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1014,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1015,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1016,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1017,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1018,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1019,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1020,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1021,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1022,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1023,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1024,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1025,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1026,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1027,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1028,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1029,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1030,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1031,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1032,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1033,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1034,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1035,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1036,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1037,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1038,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1039,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1040,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1041,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1042,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1043,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1044,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1045,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1046,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1047,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1048,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1049,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1050,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1051,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1052,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1053,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1054,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1055,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1056,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1057,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1058,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1059,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1060,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1061,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1062,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1063,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1064,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1065,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1066,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1067,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1068,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1069,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1070,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1071,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1072,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1073,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1074,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1075,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1076,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1077,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1078,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1079,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1080,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1081,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1082,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1083,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1084,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1085,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1086,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1087,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1088,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1089,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1090,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1091,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1092,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1093,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1094,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1095,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1096,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1097,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1098,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1099,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1100,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1101,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1102,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1103,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1104,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1105,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1106,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1107,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1108,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1109,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1110,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1111,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1112,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
1113,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
1114,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
1115,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
1116,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
1117,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
1118,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
1119,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
1120,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
1121,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
1122,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
1123,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
1124,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
1125,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
1126,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
1127,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
1128,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
1129,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
1130,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
1131,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
1132,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
