,Tweet_text
170,great project aditirao6 deeptirobotix bridging gender gap stem robotix via
171,awele academy moves end gender gap #tech & #stem #shehacksafrica \n \xe2\x80\xa6 kishau nessaoguam
172,article addressed ageing gender gap #womenintech #stem #technology #innovation \xe2\x80\xa6 via
173,"almost gender gap attainment #stem elves
 big one uptake' lkmco"
174,girls code closing computer science gender
175,learn 3d visualization math science help bridge stem gender
176,teaching spatial skills help bridge stem gender gap? #stem #steam
177,claremoodymep thank pushing bridge gender gap stem. working tech great fun provides many
178,#stem #coding leadership - charter school bridging gender gap tech
179,#tech #gender gap visualized (#infographic): \n#gendergap #women #womenintech #womeninstem #coding #work\n#stem
180,gender gap widens early; fewer women #stem #education #edchat #teachers
181,young girls closing gender gap science
182,love initiatives close gender gap #stem
183,co-chairs dedicated shrinking gender gap stem fields #ibmstem4girls subsidy aims
184,ottawa robotics program aims increase participation girls
185,uconn leader closing engineering gender gap\n #stem #womenintech
186,join us discuss raising numbers girls #stem closing stem gender gap today booth 1735
187,"superare #gender gap x professioni #stem anche grazie ai role model: ""re-engineering beauty beast"""
188,enjoyed sharing insighr microsoft booth address stem gender gap.
189,"denise spence, ft. myers. dunbar & louis zulli, tech co. pinellas co. talk stem #fetc201 lzulli superblond"
190,"#africa #tech \nthe gender gap science, technology, engineering, mathematics (stem) manifests many\xe2\x80\xa6"
191,two ways bridge stem gender gap. cosucceeds highlights research:
192,"socialisation shapes attitude 2 stem subjects+cultural exp's could
 prohibit gals from
 tapping ict opport. state gender gap will?"
193,"#finland solve #stem gender gap, can\xe2\x80\x99t we? via iotportfolio"
194,"we\'ve featured newsweek! ""why gender gap tech widening?"" - \xe2\x80\xa6 \xe2\x80\xa6"
195,girlswhocode closing computer science gender gap via
196,edf energy sense show young girls creative side science close gender gap #stem #experiential
197,teaching spatial skills help bridge #stem gender gap? >>
198,girls code closing computer science gender gap | stem solutions | us news #csforall #stem
199,astellasfdn's robin andrews shares stellar girls program fighting close gender gap #stem:
200,women's colleges close stem gender gap | knowledge bank | us news
201,bridging gender gap #stem education. #edtech jillenergy nypaenergy
202,women #stem: gender gap #innovation commercegov
203,"aim close #gender gap #stem, supported unfpasyria changemakerssyr"
204,inspired reshmasaujani launch changemakerssyr syria close gender gap #stem empower young people pursue
205,proud part changemakerssyr aims close gender gap #stem
206,thanks unfpasyria 20 young people equipped tools future #changemakers
207,mentoring programs help women overcome gender gap still exists stem
208,"#therpo thanks gm ceo mtbarra $250,000 grant girlswhocode promoting #stem girls undeserved
 communities close gender gap"
209,help bridge gender gap women stem. applying \xe2\x80\xa6\n#nyas200
210,strategies close gender gap
211,check new blog post #womeninstem #stem gender
212,tvo: meet ontario organizations working bridge gender gap
213,crucial recognize stem field gender gap find ways retain women men. npr's article:
214,astellasfdn's robin andrews shares stellar girls program fighting close gender gap #stem:
215,"despite growing demand stem-related jobs, women underrepresented gender gap continues grow."
216,"along girlswhocode, we're working close gender gap #stem. read mtbarra & reshmasaujani:"
217,"#stem gender gap? finland isn't sweating it, thanks long history gender equality"
218,recognizing gender gap relates #stem careers important saminjuneau
219,"let's get right, parentsmagazine - stem learning apps pink & cosmetics way close stem gender gap."
220,groups like girlswhocode working change gender gap #stem
221,want learn address gender bias classroom gender gap stem? join us wed jan. 18
222,let's work close patent gender gap support stem education women. wbes patents attract funding!
223,"great session with
 un women empower_women. excited see team's progress project close stem leadership gender gap!"
224,closing gender gap #stem help fix technology skills shortage across globe
225,spatial skills help bridge stem gender gap \xe2\x80\xa6 #gendergap #stem #girls via
226,great article! teaching spatial skills help bridge stem gender gap?
227,teaching spatial skills help bridge stem gender gap? | mindshift | kqed news
228,"thanks egalitarian culture, finland #stem gender gap figured"
229,fascinating research bridge stem gender gap spatial reasoning practice
230,#stem there's persistent gender gap computer science & engineering. could why. \xe2\x80\xa6 v\xc3\xada wef
231,teaching spatial skills help bridge #stem gender
232,#women working close #stem #gender gap 2017: \n#womeninstem #gendergap (via
233,closing gender gap #stem education.
234,stem gap gender gap - terrybarclay fix that!
235,gm girlswhocode partner after-school #stem program help close engineering gender gap via
236,"cool\xe2\x80\x94gm donating $250,000 girls code help close gender gap stem/tech:"
237,new partnership girlswhocode & gm work close gender gap tech #stem via
238,gender gap #cs hurting u.s. businesses #csforall #stem
239,"gm partnering girls code put $250,000 help close gender gap stem careers. great initiative."
240,"# gm teaming girls code (gwc), national no-profit seeking help close gender gap stem \xe2\x80\xa6"
241,\xe2\x80\x9ccan teaching spatial skills help bridge stem gender gap?\xe2\x80\x9d
242,"\xe2\x80\xa6 teacher characteristics, student beliefs gender gap stem"
243,interesting survey \xe2\x80\x9csteam vs. stem: gender gap\xe2\x80\x9d
244,"survey results found art based stem activities make stem accessible,especially girls. #stemsaturday"
245,check npr interview alum stephanie espy. #meetgoizueta closer look: bridging gender gap stem;
246,probably explains large part gender gap stem occupational areas\n
247,real reason stem gender gap via /r/funny
248,"closer look: bridging gender gap stem; more: friday ""closer look rose scott jim burress"":\xe2\x80\xa6"
249,lets hear girls! - #stem gender gap tide #maths
250,"#mla17 #s151 taught georgia tech, personal knowledge gender gap stem degrees. students called ""the"
251,help daughter gender gap math abilities? #girlpower #stem
252,art key closing stem gender gap:
253,gender gap computer science hurting u.s. businesses
254,"great article scientist
 continued gender gap #stem careers; starts young age"
255,"change way teach #stem, close #tech gender gap, says founder girlswhocode \xe2\x96\xba via"
256,men help women stem bridge gender
257,gender gap computer science hurting u.s.
258,gender gap stem: women deterred essential fields
259,three colleges work close stem gender gap \xe2\x80\xa6
260,'boys better math' mindset causes stem gender gap
261,schools tackle gender gap stem? work truly engaging female students:
262,"girls code robotics marine ecology program, we\xe2\x80\x99re proud help close #stem gender gap. \xe2\x80\xa6"
263,it's culture: finnish success #stem gender gap comes deep within \xe2\x96\xba cc: geektime
264,art key closing stem gender gap
265,popular math class may heart stem gender gap \xe2\x80\xa6 #generationnow via
266,could art key closing #stem gender gap? #steam #womeninstem
267,gender gap computer science hurting u.s. businesses. (washington
268,gender gap math science starts kindergarten: teachers unknowingly discourage #girls #stem \n
269,could free public childcare #finland killing #stem gender gap? \xe2\x96\xba cc: geektime
270,always great see brave girls #stem action! code4girlz closing tech gender gap one girl time.
271,gift learning. keen interest amazing me. thanks officialmeccano & code4girlz #girlsinstem support! #lovemylife
272,winning race digital economy cracking code gender gap
273,"[read] gender gap stem: women deterred essential fields ""latest"" emersyn"
274,art key closing stem gender gap via
275,"#art help close #stem gender gap, via"
276,female role models earlier exposure #stem help change gender gap says twinkley001
277,world #3dprinting could close gender gap
278,rt cyberwatchwest: thanks cyberjutsugirls sharing - finland solving gender gap #stem ncwit
279,#art key closing #stem #gender #gap - take apart |
280,#art key closing #stem gender gap
281,"compelling post ""why closing gender gap stem starts elementary school"" \xe2\x80\xa6 kimberlymecham"
282,breakfastnews #curiousminds mentor megan sebben shed light program aims bridge gender gap #stem.
283,'boys better math' mindset creates gender gap
284,edf energy sense show young girls creative side science close gender gap #stem #experiential
285,teaching spatial skills help bridge stem gender gap?
286,current state stem gender gap
287,international test points gender gap high school stem courses. via
288,"change way teach #stem, close #tech gender gap, says founder girlswhocode \xe2\x96\xba via"
289,women stem: gender gap innovation
290,"popular math class heart stem gender gap, study suggests\n\n"
291,finland solving #gender gap #science #education\n\n#fintech #insurtech #womenintech #femtech #stem \n
292,#finland solving gender gap #stemed \xe2\x80\x93 & learn it: | lrosbrow
293,women's colleges close stem gender gap
294,finland solving gender gap science?
