,Tweet_text
120,personal growth women inspire others great success #womeninbiz #leadership #womenintech #stem
121,proof background stem game-changer
122,largest all-female expedition leads way women stem \xe2\x80\xa6 via
123,leadership stem tide women lost science\n
124,ominous #women
125,there's 50% women parliament campaign. 50% women science/stem/nhs leadership? equal rights equal
126,women #stem key leadership 4th industrial revolution #diversity thewisecampaign
127,#northernireland engineer lauren encouraging #diversity #stem role thewisecampaign:
128,good stem programs - leadership framework women
129,women industries pave way leadership roles leveraging #stem knowledge - via fortunemagazine
130,awesome article
131,mentorship crucial advancement #womenintech tamaramccleary #leadership #women #stem
132,mentorship crucial advancement #womenintech tamaramccleary #leadership #women #stem
133,encouraging women stem -
134,yes! leadership could help change world. don\xe2\x80\x99t believe us? \nread here:
135,"great session with
 un women empower_women. excited see team's progress project close stem leadership gender gap!"
136,hidden figures: inspiring #stem heroes
137,
138,"shepherdu #computerscience, #math, & #engineering students attend global leadership conference women #stem"
139,gm ceo plans get #women
140,"rt unoosa: hear unoosa director sdipippo_oosa discuss career, leadership, women stem:"
141,"meet #womanonthemove sdipippo_oosa, director un office #outerspace affairs unoosa: #womeninstem #50x50"
142,"#stem #education women & girls programs funded usa government barackobama leadership danger! join us mobilize
 govs."
143,#women kicking serious goals stem fields! via huffingtonpost: \n\n#womeninbusiness #leadership
144,love janinemgarner 's thoughts women's #leadership also directly applicable #women #stem
145,thoughts ceomagazineau need act protect pipeline female #leaders
146,no-brainer write promotion women stem leadership roles! long overdue.
147,great see homewardbound16 & _samanthahall featuring westaustralian insidecover morn! sounds like amazing
148,"hear unoosa director sdipippo_oosa discuss career, leadership, women stem:"
149,"meet #womanonthemove sdipippo_oosa, director un office #outerspace affairs unoosa: #womeninstem #50x50"
150,proof background #stem game-changer women
151,"13% women working stem positions leadership. stem careers women look promising,..."
152,packaging & processing women's leadership network great way #women find opportunities #stem
153,women sales leadership change business's results? #stem #leadership
154,remember days rachel carson award young women showed outstanding leadership stem? times change go coed
155,"change begins you. introducing rachel carson healthy planet award, student leaders sustainability:"
156,background stem drive women top fortune\n#leadership #fintech #womenintech\n
157,funding awarded highlight leadership opportunities women stem fields \n
158,young women backgrounds stem feel empowered take leadership roles because... #mastercardemployee' icymi: #packaging & #processing women's leadership network news: opportunities women
159,"lem138 combines 3 favorite topics: women leadership, #hr #stem. check 2017 trends."
160,take keep women leaving
161,#gender discrimination still #stem: #female execs
162,"7 canadian women #antarctica #homewardbound16 leadership expedition. supporting women stem, becoming strong leaders"
163,foundation #stem provide #women foundation leadership.
164,"looking leadership training
 women male-dominated fields stem construction \xe2\x80\xa6"
165,"caution: may because
 empowerment. webinar women stem leadership positions charliecareers ."
166,thanks mitchellbaker leadership mozilla founder advocate women girls #stem un_women
167,#packaging & #processing women's leadership network news: opportunities women #stem:
168,strategies enhance women girl's participation stem fields leadership positions i\xe2\x80\xa6 \xe2\x80\xa6 via
169,candice_mmorgan inspiration many women leadership positions young women stem!!
170,"pinterest's diversity leader candice morgan explains inclusive hiring process video with
 fastcompany"
171,"shepherd students attend global leadership conference women | news, sports, jobs - journal news"
172,3 #women made mid-career poivots data science! \xe2\x80\xa6
173,aspiring women leaders #stem miss
174,"spread word: we're accepting applications #techwomen17. deadline apply january
 17."
175,"frangellagianni women leadership roles, stem careers,"
176,"ceos adopt five-step plan advance #women corporate #leadership, work? | | #stem"
177,"kujbb help keep 2017! program empower young women with
 leadership training research #gendergap #stem"
178,"aauw\xe2\x80\x99s leadership programs empowered 12,000 young women & girls 2016. help us keep 2017:"
179,packaging & processing women's leadership network promises opportunities #women #stem
180,importance women stem lead - data crunching happening ...\ womenleadlab
181,presenting latest work women leadership stem- still crunching data regarding building profile incredible women -stay tuned
182,"stem women prize ethics, meaningful work, outcomes - isn't basis great"
183,athena vongalis-macrow deakin leadership #womeninstem aus-india-uk workshop delhi #wis2016
184,"great present trilateral mtng delhi reply
 women stem leadership-aust,uk,india govs seeking change & industry innovation#leadership"
185,share #research #women #leadership &amp; collaboration #techonomics kgo810 kgojason #tech #wit #stem
186,"#research #women, collaboration &amp; #leadership forbes #fridayreads #management #stem #tech #wit"
187,women stem: need reclaim
